month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
7/1/2022,Alabama,18043,313,18732,11235,1411,1045,0,4,3,0,2498,893,15,48,0,0,0,0,43,15,8,0,1,0,54307
7/1/2022,Alaska,107,59,3200,2486,314,214,0,1,0,0,122,84,1,27,14,0,0,0,1,2,0,0,0,0,6632
7/1/2022,Arizona,7730,1568,19301,8868,1998,1228,0,13,3,1,1195,346,8,142,14,0,0,0,10,8,1,0,0,0,42434
7/1/2022,Arkansas,2210,367,6626,4388,478,371,7,5,4,2,1132,781,1,0,0,0,0,0,10,10,2,1,0,0,16395
7/1/2022,California,22621,12734,41159,23489,6090,0,0,1,0,0,543,377,21,1160,769,94,0,0,7914,3261,651,33,15,0,120932
7/1/2022,Colorado,6833,15,18940,11365,1789,1766,0,0,0,0,0,0,0,310,53,0,0,0,0,0,0,0,0,0,41071
7/1/2022,Connecticut,7905,652,4688,1358,986,0,2,0,0,0,0,0,0,0,0,0,0,0,1292,339,233,0,0,0,17455
7/1/2022,Delaware,440,0,2023,886,83,72,0,0,1,0,20,6,0,53,0,0,0,0,42,13,0,0,0,0,3639
7/1/2022,District of Columbia,856,0,379,12,0,7,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,1273
7/1/2022,Florida,22162,0,61996,21087,5289,3155,0,10,4,0,3638,887,10,1326,100,1,0,0,316,210,72,42,20,3,120328
7/1/2022,Georgia,10149,0,19307,7697,928,812,0,16,8,0,1973,715,13,51,1,0,0,0,19,3,4,0,0,0,41696
7/1/2022,Guam,0,0,185,97,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
7/1/2022,Hawaii,1827,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1834
7/1/2022,Idaho,6245,22,5819,4576,684,353,0,1,2,0,329,239,1,77,7,0,0,0,7,8,2,0,1,0,18373
7/1/2022,Illinois,295349,0,20758,9843,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327083
7/1/2022,Indiana,386,42297,25699,10652,1683,1023,4,3,2,0,847,298,12,47,2,0,0,0,30,11,2,1,0,0,82999
7/1/2022,Iowa,3041,4563,2594,2292,125,80,5,0,0,0,34,23,0,48,5,0,0,0,2,6,1,0,0,0,12819
7/1/2022,Kansas,1124,356,6433,4363,652,395,0,3,1,0,494,219,4,67,11,0,0,0,7,2,1,0,2,0,14134
7/1/2022,Kentucky,630,303698,10184,6714,642,639,0,11,10,0,1636,854,2,24,2,0,0,0,19,18,1,0,0,0,325084
7/1/2022,Louisiana,1737,182,12568,6411,1028,703,0,7,5,0,924,490,6,0,0,0,0,0,8,10,1,0,1,0,24081
7/1/2022,Maine,595,4,3976,3326,389,236,1,0,0,0,88,61,0,20,10,1,0,0,6,5,1,0,0,0,8719
7/1/2022,Mariana Islands,0,0,7,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7/1/2022,Maryland,6252,24,9712,5211,120,7,0,0,0,0,86,69,2,84,33,4,0,0,0,17,2,0,2,0,21625
7/1/2022,Massachusetts,9998,0,5032,2542,1167,249,1,0,0,0,10,8,4,1,0,0,0,0,17,17,7,1,0,0,19054
7/1/2022,Michigan,16243,5356,20700,12962,1895,781,1,0,0,1,34,172,3,70,16,0,0,0,14,9,0,1,1,0,58259
7/1/2022,Minnesota,11428,34008,10166,8655,1004,539,0,0,4,0,205,183,2,70,12,1,0,0,20,16,0,0,1,0,66314
7/1/2022,Mississippi,2310,0,8178,4903,481,430,0,3,9,0,1593,720,5,25,0,1,0,0,5,0,2,0,2,0,18667
7/1/2022,Missouri,1078,96,19786,12698,2091,1244,1,13,5,1,1338,646,10,301,43,2,0,0,36,39,10,0,4,0,39442
7/1/2022,Montana,832,2,4333,3870,357,297,12,1,3,1,388,410,3,39,4,0,0,0,6,7,1,0,2,0,10568
